ID 	SX 	VG 	VE 	VF 	idPai 	iidMae 	Geracao 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
0 	0 	0.000 	0.000 	0.000 	0 	0 	0.000 
